Name,CC4h_1,CC4h_2,CC4h_3,GC4h_1,GC4h_2,GC4h_3
Masp1,15687,13129,9927,7780,10370,9349
Gm45338,216,104,95,127,155,126
Rtp4,159,104,143,135,148,116
Sst,2,2,14,8,0,4
Rtp2,0,0,0,1,0,0
Bcl6,2976,2466,1712,1954,2787,2408
Gm37419,0,0,0,0,0,1
Gm49518,0,1,1,0,2,0
Gm46545,1,0,0,0,0,0
Gm31583,0,0,0,2,0,2
Gm32126,0,0,0,0,0,0
Gm31814,3,2,15,3,13,1
Lppos,84,82,74,54,53,104
Lpp,2564,1779,2172,2642,2664,2919
Gm24440,0,0,0,0,0,0
Mir28a,0,0,0,0,0,0
Gm22672,0,0,0,0,0,0
A230028O05Rik,25,36,42,12,23,24
Tprg,36,11,92,17,15,22
Trp63,185,60,427,16,37,32
Gm24928,0,0,0,0,0,0
Gm4524,2,8,16,26,30,27
P3h2,210,83,75,258,200,266
AU015336,0,0,0,0,0,0
Cldn1,30,24,28,182,120,166
Cldn16,7,2,7,0,0,0
Tmem207,0,0,0,0,0,0
Il1rap,1792,1508,1348,911,1138,1053
Gm20319,3,0,2,4,2,3
Gmnc,0,4,1,1,8,2
Ostn,1,1,0,1,0,2
AC154512.1,0,0,0,0,0,0
Uts2b,3,0,0,2,0,0
Ccdc50,5089,3748,3108,4703,5249,5340
AC154786.1,61,17,115,12,19,16
Fgf12,134,63,46,104,160,137
Mir690,0,0,0,0,0,0
Mb21d2,912,596,2189,319,392,476
Hrasls,6,4,3,0,0,0
Atp13a5,31,4,67,5,7,4
Atp13a4,8,3,8,4,6,3
Opa1,2676,2216,2521,2302,2292,2504
AC154438.1,0,0,0,0,0,0
Gm26834,80,44,25,49,40,40
CT025592.1,4,6,4,6,4,4
Gm26569,17,10,34,12,6,12
Gm1968,3,0,3,0,0,1
4632428C04Rik,28,18,22,15,16,26
CT030736.1,0,0,0,1,0,0
Hes1,1477,803,769,482,623,559
n-R5s32,0,0,0,0,0,0
1700025H01Rik,2,0,8,1,0,2
Gm26562,2,2,2,2,1,4
Cpn2,1,0,1,1,0,1
Lrrc15,22,4,12,9,16,24
Gp5,28,14,21,16,42,35
Atp13a3,12769,11517,9375,23786,33120,28088
Tmem44,7,21,0,82,75,93
Lsg1,2455,2161,1825,1840,2073,2104
